"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23, 2019","40.00","40.05","40.20","40.00","82.00K","0.00%"
"Aug 22, 2019","40.00","39.90","40.10","39.90","2.74M","0.25%"
"Aug 21, 2019","39.90","39.95","40.00","39.90","206.60K","0.13%"
"Aug 20, 2019","39.85","39.50","40.00","39.50","1.09M","0.25%"
"Aug 19, 2019","39.75","40.00","40.00","39.50","1.44M","-0.13%"
"Aug 16, 2019","39.80","39.90","39.90","39.70","406.10K","-0.13%"
"Aug 15, 2019","39.85","39.60","39.95","39.60","249.70K","-0.13%"
"Aug 14, 2019","39.90","39.65","40.00","39.60","1.26M","0.63%"
"Aug 13, 2019","39.65","39.55","40.00","39.55","99.50K","-0.38%"
"Aug 09, 2019","39.80","39.50","40.00","39.50","295.80K","0.89%"
"Aug 08, 2019","39.45","39.30","39.80","39.30","113.30K","0.51%"
"Aug 07, 2019","39.25","39.35","39.50","39.20","425.90K","-0.38%"
"Aug 06, 2019","39.40","39.50","39.50","39.00","314.80K","-0.25%"
"Aug 05, 2019","39.50","39.95","39.95","39.45","958.30K","-1.25%"
"Aug 02, 2019","40.00","40.00","40.25","39.95","213.40K","0.00%"
"Aug 01, 2019","40.00","40.00","40.20","39.95","360.90K","0.00%"
"Jul 31, 2019","40.00","40.00","40.20","39.95","2.98M","0.13%"
"Jul 30, 2019","39.95","39.85","40.00","39.80","445.90K","0.13%"
"Jul 29, 2019","39.90","39.80","40.00","39.70","2.48M","0.00%"
"Jul 26, 2019","39.90","39.90","40.00","39.80","1.43M","0.00%"
"Jul 25, 2019","39.90","39.95","40.00","39.80","1.88M","-0.25%"
"Jul 24, 2019","40.00","40.00","40.00","39.90","1.10M","0.38%"
"Jul 23, 2019","39.85","40.00","40.00","39.70","2.37M","0.13%"